Nome;Categoria;Unidade;Data
BIBLIOCINE: QUEM SOU EU NO LUGAR ONDE EU VIVO? – COM EQUIPE BIBLIOTECA;Cinema;Vila Nova Cachoeirinha;01/04/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/03/2026.02.12_BIBLIOCINE-QUEM-SOU-EU-NO-LUGAR-ONDE-EU-VIVO_CRED-GEMINI-IMAGE-CREATOR.png
BIBLIOCINE – COM EQUIPE BIBLIOTECA;Cinema;Brasilândia;02/04/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/03/2026.02.12_BIBLIOCINE_CRED-GEMINI-IMAGE-CREATOR.jpg
CLUBE DOS LEITORES BRINCANTES – COM EQUIPE BIBLIOTECA;Literatura;Brasilândia;08/04/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/03/2026.02.12_CLUBE-DOS-LEITORES-BRINCANTES_CRED-CANVA-IMAGE-CREATOR.jpg
BIBLIOCINE: CABLOQUINHOS EXPRESSÃO E IDENTIDADE – COM EQUIPE BIBLIOTECA;Cinema;Vila Nova Cachoeirinha;08/04/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/03/2026.02.12_BIBLIOCINE-CABLOQUINHOS-EXPRESSAO-E-IDENTIDADE_CRED-CANVA-IMAGE-CREATOR.jpg
DIA NACIONAL DA BIBLIOTECA – COM EQUIPE BIBLIOTECA;Literatura;Brasilândia;09/04/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/03/2026.02.12_DIA-NACIONAL-DA-BIBLIOTECA_CRED-CANVA-IMAGE-CREATOR.jpg
TEATRO: HISTÓRIAS PARA A HORA DO NÃO;Teatro;Vila Nova Cachoeirinha;09/04/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/01/Capturar-1.png
CONTAÇÃO DE HISTÓRIA – TRAVESSURAS DE BICHO COM CIA PALAVREAR;Contação de História;Brasilândia;14/04/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/03/Cia-Palavrear-Foto-de-Paula-Lisboa-scaled.jpg
ESCRITA CRIATIVA: VAMOS POETAR – COM EQUIPE BIBLIOTECA;Literatura;Brasilândia;16/04/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/03/2026.02.12_ESCRITA-CRIATIVA-VAMOS-POETAR_CRED-GEMINI-IMAGE-CREATOR.png
FESTIVAL SLAM DE TEATRO: OFICINA DE TEATRO CONTRACOLONIAL COM JUÃO NYN;Teatro;Brasilândia;16/04/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/02/p_1500284124697104f5a1f497.09842546-scaled.jpeg
CONTAÇÃO DE HISTÓRIA – TRAVESSURAS DE BICHO COM CIA PALAVREAR;Contação de História;Vila Nova Cachoeirinha;16/04/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/03/Cia-Palavrear-Foto-de-Paula-Lisboa-scaled.jpg
DO DIA DA MENTIRA AO DIA DA VERDADE – COM EQUIPE BIBLIOTECA;Bate-papo;Brasilândia;17/04/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/03/2026.02.12_DO-DIA-DA-MENTIRA-AO-DIA-DA-VERDADE_CRED-GEMINI-IMAGE-CREATOR.png
ENCONTRO COM A AUTORA | MANIA DE BILHETES – COM ANA LUIZA NOVIS;Bate-papo;Vila Nova Cachoeirinha;18/04/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/03/Foto-Ana-Luiza-Novis_Divulgacao-Copia.jpeg
SARAUZINHO DA VERGUEIRO: MEU PRIMEIRO SARAU COM VIEIRA PATO;Biblioteca;Brasilândia;23/04/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/03/Foto-Vieira-Pato_Divulgacao.jpeg
LEVE O LIVRO: LEITURA LIVRE – COM EQUIPE BIBLIOTECA;Literatura;Vila Nova Cachoeirinha;24/04/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/03/2026.02.12_LEVE-O-LIVRO-LEITURA-LIVRE_CRED-GEMINI-IMAGE-CREATOR.jpg
OFICINA DE LIBRAS COM GY VILANOVA;Oficina;Vila Nova Cachoeirinha;25/04/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/02/p_1632683377696e7d37e08381.19624791.jpeg
ESPECIAL PÁSCOA: OFICINA DE OVOS DE CHOCOLATE;Oficina;Brasilândia;25/04/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/02/p_13017080306968de1a193ae3.86876727-1.jpg
CAÇA AOS OVOS POÉTICOS – COM EQUIPE BIBLIOTECA;Biblioteca;Brasilândia;25/04/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/03/2026.02.12_CACA-AOS-OVOS-POETICOS-_CRED-GEMINI-IMAGE-CREATOR.png
CINE FÁBRICA VNC;Cinema;Vila Nova Cachoeirinha;28/04/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/02/rows-red-seats-theater-1-scaled.jpg
SARAUZINHO DA VERGUEIRO: MEU PRIMEIRO SARAU COM VIEIRA PATO;Biblioteca;Vila Nova Cachoeirinha;28/04/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/03/Foto-Vieira-Pato_Divulgacao.jpeg
PALHAÇO NÃO DÁ MEDO – COM CIA SINGULAR;Circo;Vila Nova Cachoeirinha;28/04/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/01/p_9428870446945be504504b7.10069303-1.jpg
NORTE E NORDESTE EM RIMA: RAP E TRADIÇÃO POPULAR – COM EQUIPE BIBLIOTECA;Literatura;Vila Nova Cachoeirinha;29/04/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/03/2026.02.12_NORTE-E-NORDESTE-EM-RIMA-RAP-E-TRADICAO-POPULAR_CRED-CHATGPT-IMAGE-CREATOR.jpg
ENCONTRO COM A AUTORA | CABEÇA FEITA COM NEIDE ALMEIDA;Literatura;Brasilândia;30/04/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/03/Neide-Almeida_LuizPereiraPinto_out20-scaled.jpg
OFICINA DE ESCRITA CRIATIVA: CRIANDO CONTOS MISTERIOSOS – COM EQUIPE BIBLIOTECA;Literatura;Vila Nova Cachoeirinha;30/04/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/03/2026.02.12_OFICINA-DE-ESCRITA-CRIATIVA-CRIANDO-CONTOS-MISTERIOSOS_CRED-CHATGPT-IMAGE-CREATOR.jpg
FAZENDO UMA CARTINHA PARA MAMÃE – COM EQUIPE BIBLIOTECA;Biblioteca;Vila Nova Cachoeirinha;05/05/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/03/2026.03.20_FAZENDO-UMA-CARTINHA-PARA-MAMAE_CRED-GEMINI-IMAGE-CREATOR.jpg
MAIO RECICLA: VIVÊNCIA CONSTRUÇÃO DE BONECO CABEÇÃO;Oficina;Brasilândia;05/05/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/03/p_17947461656977bd72075170.75417677.jpg
BIBLIOCINE – COM EQUIPE BIBLIOTECA;Cinema;Brasilândia;07/05/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/03/2026.03.13_BIBLIOCINE_CRED-GEMINI-IMAGE-CREATOR.jpg
OFICINA CRIAÇÃO E ADAPTAÇÃO DE ROTEIRO PARA HISTÓRIAS EM QUADRINHOS – COM EDE GALILEU;Biblioteca;Vila Nova Cachoeirinha;08/05/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/03/EDE-GALILEU_por-Sander-Junior.jpg
OFICINA DE LIBRAS COM: LIBRAS NA QUEBRADA;Oficina;Brasilândia;09/05/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/03/p_10360075386973a634829665.20674343.jpeg
K.O. – LAB;Dança;Vila Nova Cachoeirinha;12/05/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/03/2.png
CARIMBANDO HISTÓRIAS: A ARTE DA GRAVURA AO LONGO DO TEMPO – COM EQUIPE BIBLIOTECA;Biblioteca;Vila Nova Cachoeirinha;13/05/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/03/2026.03.20_CARIMBANDO-HISTORIAS-A-ARTE-DA-GRAVURA-AO-LONGO-DO-TEMPO_CRED-GEMINI-IMAGE-CREATOR.jpg
OFICINA DE LAMBE-LAMBE – COM EQUIPE BIBLIOTECA;Biblioteca;Vila Nova Cachoeirinha;14/05/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/03/2026.03.20_OFICINA-DE-LAMBE-LAMBE_CRED-GEMINI-IMAGE-CREATOR.jpg
CONTAÇÃO DE HISTÓRIAS: CONTOS POPULARES E CONTOS PIRAPORIANOS, COM JANINE RODRIGUES;Biblioteca;Brasilândia;14/05/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/03/JANINE-RODRIGUES_divulgacao-1-scaled.jpg
WORKSHOP DE DANÇA CHARME E PASSINHOS DE BAILE COM JAMAL AYO;Dança;Brasilândia;14/05/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/03/p_13171425326978b910dfcb10.36599176.jpg
CINE FÁBRICA VNC;Cinema;Vila Nova Cachoeirinha;15/05/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/03/p_198694347369b06c1878f0f6.75892832-1-scaled.jpg
ESPECIAL ORGULHO GEEK: OFICINA DE SWORDPLAY, BISCUIT E CARDGAMES;Oficina;Brasilândia;19/05/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/03/p_759474988697a61a18de748.01258147-1.png
FEIRA DE TROCA LIVROS E DVDS: GIRANDO HISTÓRIAS – COM EQUIPE BIBLIOTECA;Biblioteca;Vila Nova Cachoeirinha;19/05/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/03/2026.03.20_FEIRA-DE-TROCA-LIVROS-E-DVDS-GIRANDO-HISTORIAS_CRED-GEMINI-IMAGE-CREATOR.jpg
FEIRA DE TROCA LIVROS E DVDS: GIRANDO HISTÓRIAS – COM EQUIPE BIBLIOTECA;Biblioteca;Vila Nova Cachoeirinha;19/05/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/03/2026.03.20_FEIRA-DE-TROCA-LIVROS-E-DVDS-GIRANDO-HISTORIAS_CRED-GEMINI-IMAGE-CREATOR.jpg
PALAVRA DENTRO DA PALAVRA – COM EQUIPE BIBLIOTECA;Biblioteca;Brasilândia;20/05/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/03/2026.03.13_PALAVRA-DENTRO-DA-PALAVRA_CRED-GEMINI-IMAGE-CREATOR-2.jpg
CONTAÇÃO DE HISTÓRIA E DINÂMICA: REDE DE APOIO AMIZADE QUE SUSTENTA – COM EQUIPE BIBLIOTECA;Contação de História;Brasilândia;21/05/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/03/2026.03.13_CONTACAO-DE-HISTORIA-E-DINAMICA-REDE-DE-APOIO-AMIZADE-QUE-SUSTENTA_CRED-GEMINI-IMAGE-CREATOR.jpg
VIRADA CULTURAL 2026 – O CIRCO QUE FUGIU COM COLETIVO XOXO;Circo;Brasilândia;23/05/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/03/p_15732448706979025a7542f9.65281398.png
CELEBRANDO A MATA ATLÂNTICA: OS SONS DA FLORESTA E A ARTE – COM EQUIPE BIBLIOTECA;Meio ambiente;Brasilândia;27/05/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/03/2026.03.13_CELEBRANDO-A-MATA-ATLANTICA-OS-SONS-DA-FLORESTA-E-A-ARTE_CRED-GEMINI-IMAGE-CREATOR-2.jpg
SE OS TUBARÕES FOSSEM HOMENS? COMO SERIA O TRABALHO NO FUNDO DO MAR – COM EQUIPE BIBLIOTECA;Biblioteca;Vila Nova Cachoeirinha;27/05/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/03/2026.03.20_SE-OS-TUBAROES-FOSSEM-HOMENS-COMO-SERIA-O-TRABALHO-NO-FUNDO-DO-MAR_CRED-GEMINI-IMAGE-CREATOR.jpg
CONTAÇÃO DE HISTÓRIAS: CONTOS POPULARES E CONTOS PIRAPORIANOS, COM JANINE RODRIGUES;Biblioteca;Vila Nova Cachoeirinha;28/05/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/03/JANINE-RODRIGUES_divulgacao-1-scaled.jpg
OFICINA CRIAÇÃO E ADAPTAÇÃO DE ROTEIRO PARA HISTÓRIAS EM QUADRINHOS – COM EDE GALILEU;Biblioteca;Brasilândia;29/05/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/03/EDE-GALILEU_por-Sander-Junior.jpg
CINE MÃE – ESPECIAL DIA DAS MÃES;Cinema;Brasilândia;30/05/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/03/p_2090828791697b693b54d826.27336578.jpg
OFICINA DE MANUTENÇÃO RESIDENCIAL PARA MULHERES COM: JAQUE CONSERTA;Oficina;Brasilândia;30/05/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/03/p_20052619286973d853d99ca6.77217400.jpeg
